DrugName,ActiveIngredient,PageNumber,Category
Lamovin,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamozile-30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lamtra,Methylprednisolon,969,Thuốc glucocorticoid tổng hợp
Lanacid-30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lanazol,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lanchek-30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Langamax,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Kukjekemocin,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2"
Kukjekemocin Dry Syrup,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2"
Kukjemefen,Meloxicam,940,Thuốc chống viêm không steroid
Kukjetrilcef,Cefradin,366,Kháng sinh nhóm cephalosporin thế hệ 1
Kukjetrona,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Kuktrim,Spectinomycin,1298,Kháng sinh (aminocyclitol)
Kuniclav,Amoxicilin và kali clavulanat,192,Kháng sinh
Kunoxy Plus,Ofloxacin,1076,Kháng sinh nhóm quinolon
Kunrolac,Ketorolac,867,Chưa phân loại
Kupcefin For Inj,Ceftriaxon,371,Kháng sinh nhóm cephalosporin thế hệ 3
Kupcolkin,Colchicin,461,Chống bệnh gút
Kupdina,Danazol,486,Androgen
Kupfloxanal,Ofloxacin,1076,Kháng sinh nhóm quinolon
Kupitral,Itraconazol,849,Chống nấm
Kuplinko,Lincomycin hydroclorid,905,Kháng sinh nhóm lincosamid
Kupramickin,Amikacin,176,Kháng sinh họ aminoglycosid
Kuptoral,Fluorouracil,682,"Thuốc chống ung thư, loại chống chuyển hóa"
Kuptrisone,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin"
Kupuniclor,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2"
Kupunistin,Cisplatin,400,Thuốc hóa trị liệu chống ung thư
Kutab 10,Olanzapin,1077,Kháng sinh nhóm quinolon
Kwang Myung Piracetam,Piracetam,1159,Thuốc trị giun
Kwangmyungcefix,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Kydheamo,1B - Natri bicarbonat,1027,Thuốc chống nấm (tại chỗ)
Kyongbo Cefaclor Cap.,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2"
Kyongbo Cefuroxime Inj.,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Kyseroxin,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
K-Zidime Injection,Ceftazidim,368,Kháng sinh nhóm cephalosporin thế hệ 3
Labapraz,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Labetalol hydrochloride,Labetalol hydroclorid,872,Thuốc chống tăng huyết áp; thuốc ức chế thụ thể beta
Labomin,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Laborat,Risperidon,1249,Thuốc chống loạn thần
Laboya,Meropenem,950,"Kháng sinh nhóm carbapenem, họ beta-lactam"
Lacbio Pro,Lactobacillus acidophilus,874,Vi khuẩn sinh acid lactic
Lacepril,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin
Lacepril 5,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin
Laclomez,Clarithromycin,404,Kháng sinh macrolid bán tổng hợp
Lacovir,Aciclovir,114,Thuốc chống virus
Lactat Ringer & Glucose,Ringer lactat,1247,Dịch truyền tĩnh mạch
Lactate Ringer,Ringer lactat,1247,Dịch truyền tĩnh mạch
Lactated ringer,Ringer lactat,1247,Dịch truyền tĩnh mạch
Lactated Ringer’ s injection,Ringer lactat,1247,Dịch truyền tĩnh mạch
Lactated ringer’s and dextrose,Ringer lactat,1247,Dịch truyền tĩnh mạch
Lactated Ringer’s Injection “Sintong”,Ringer lactat,1247,Dịch truyền tĩnh mạch
Lacticare-HC,Hydrocortison,779,"Glucocorticosteroid, corticosteroid"
Lactoluse Cap,Lactobacillus acidophilus,874,Vi khuẩn sinh acid lactic
Lactosorbit,Sorbitol,1294,Thuốc nhuận tràng thẩm thấu
Lactulose Stada,Lactulose,875,Vi khuẩn sinh acid lactic
Ladexnin,Desloratadin,497,Thuốc diệt ký sinh trùng đơn bào
Ladinex,Lamivudin,876,Thuốc kháng retrovirus và virus
Ladivir,Lamivudin,876,Thuốc kháng retrovirus và virus
Ladolugel,Nhôm phosphat,1048,Kháng acid
Laevolac,Lactulose,875,Vi khuẩn sinh acid lactic
Lafoncef,Ceftriaxon,371,Kháng sinh nhóm cephalosporin thế hệ 3
Lafusidex,Acid fusidic,129,"Vitamin nhóm b, chất dinh dưỡng"
Lamicetam,Piracetam,1159,Thuốc trị giun
Lamidac 100,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamiffix 100,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamijas,Lamivudin,876,Thuốc kháng retrovirus và virus
Laminova 100,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamisil,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin"
Lamisil Dermgel,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin"
Lamisil once,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin"
Lamitick,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamivase,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamivudin 100,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamivudin 100 Glomed,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamivudin 100 ICA,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamivudin 150,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamivudin 150 ICA,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamivudin Boston 100,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamivudin-Domesco,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamivudin Hasan 100,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamivudin Stada,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamivudine,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamivudine 150-SPM,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamovin,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamozile-30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lamtra,Methylprednisolon,969,Thuốc glucocorticoid tổng hợp
Lanacid-30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lanazol,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lanchek-30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Langamax,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Langast,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Langbiacin,Kanamycin,856,Kháng sinh nhóm aminoglycosid
Lanidin Sol. IV . INF,Ciprofloxacin,394,Kháng sinh nhóm fluoroquinolon
Lanikson,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lanithina,Ranitidin,1232,Đối kháng thụ thể h2 histamin
Lanizol 30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lan-Lan,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Lanlife,30 - Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lanmebi,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lanola,Glimepirid,731,"Thuốc chống đái tháo đường, dẫn chất sulfonylurê"
Lanprasol 15,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lanprasol 30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lans OD 15,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lansec 30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lansina,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lansindus,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lansofast,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lansolek 30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lansoliv,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lansomax,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lansoprazol Cinfa,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lansoprazol Stada,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lansoprazol tvp,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lansoprazole,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lansoprazole Stada,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lansopril-30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lansotop,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lansotrent,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lansovie,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lanspro-30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lantazolin,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lantota,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lantus,Insulin,810,"Hormon làm hạ glucose máu, hormon chống đái tháo"
Lantus SoloStar,Insulin,810,"Hormon làm hạ glucose máu, hormon chống đái tháo"
Lanzadon,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lanzee-30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lanzmarksans,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lanzonium,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lapoce,Bezafibrat,258,Thuốc chống rối loạn lipid huyết (nhóm fibrat)
Lapryl,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lapuvir-100,Lamivudin,876,Thuốc kháng retrovirus và virus
Lapuvir-150,Lamivudin,876,Thuốc kháng retrovirus và virus
Larevir 150,Lamivudin,876,Thuốc kháng retrovirus và virus
Larevir 300,Lamivudin,876,Thuốc kháng retrovirus và virus
Larykid,Clarithromycin,404,Kháng sinh macrolid bán tổng hợp
Larzole 400,Albendazol,150,Thuốc trị giun sán
Lasoprol 30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lasovac,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lastidyl 2,Glimepirid,731,"Thuốc chống đái tháo đường, dẫn chất sulfonylurê"
Lastidyl 4,Glimepirid,731,"Thuốc chống đái tháo đường, dẫn chất sulfonylurê"
Lastinem,Imipenem và thuốc ức chế enzym,800,Kháng sinh nhóm beta-lactam
Latoxol,Ambroxol,175,Thuốc long đờm
Latyz,Lamivudin,876,Thuốc kháng retrovirus và virus
Laviz 100,Lamivudin,876,Thuốc kháng retrovirus và virus
Lavusafe,Lamivudin,876,Thuốc kháng retrovirus và virus
Lazifovir 300,Tenofovir,1335,Thuốc kháng retrovirus
Lazilipi 100,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lazilipi 200,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lazocolic,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Lazzy,Lamivudin,876,Thuốc kháng retrovirus và virus
L-Bio,Lactobacillus acidophilus,874,Vi khuẩn sinh acid lactic
L-Cid,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
L-Cin 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
L-cin 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Leadercef,Cefotaxim,357,Kháng sinh cephalosporin thế hệ 3
Lecefti sachet,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Lecefti-200,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Lecinflox OPH,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Lecoject,Lincomycin hydroclorid,905,Kháng sinh nhóm lincosamid
Lefelo,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Lefidim,Ceftazidim,368,Kháng sinh nhóm cephalosporin thế hệ 3
Lefloinfusion,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Lefloxa 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Lefloxa 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Leflumax,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Leflunomide,Leflunomid,881,Thuốc điều hòa miễn dịch kháng viêm khớp làm thay
Lefquin,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Lefra-20,Leflunomid,881,Thuốc điều hòa miễn dịch kháng viêm khớp làm thay
Lefrocix,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Lefvox,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Lefvox-250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Lefxacin,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Lefzomed,Cefazolin,343,Kháng sinh cephalosporin thế hệ 1
Leginin 500 Inj.,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Legomux,Ambroxol,175,Thuốc long đờm
Leivis,Ketoconazol,861,Chống nấm có hoạt phổ rộng
Lelocin 5,Flunarizin,678,Thuốc chẹn kênh calci
Lemibet IV,Imipenem và thuốc ức chế enzym,800,Kháng sinh nhóm beta-lactam
Lemidina,Lamivudin,876,Thuốc kháng retrovirus và virus
Leninrazol 20,Esomeprazol,619,Thuốc ức chế bài tiết acid dạ dày thuộc nhóm ức chế
Leninrazol 40,Esomeprazol,619,Thuốc ức chế bài tiết acid dạ dày thuộc nhóm ức chế
Lenvoxae,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Lepigin 100,Clozapin,455,Thuốc an thần kinh không điển hình/thuốc chống loạn
Lepigin 25,Clozapin,455,Thuốc an thần kinh không điển hình/thuốc chống loạn
Leponex,Clozapin,455,Thuốc an thần kinh không điển hình/thuốc chống loạn
Lequinic,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Lercanidipine,Lercanidipin,884,Thuốc chẹn kênh calci
Lercanidipine meyer,Lercanidipin,884,Thuốc chẹn kênh calci
Lergitec tablet,Cetirizin hydroclorid,381,Kháng histamin; đối kháng thụ thể h
Lerivu,Cefotaxim,357,Kháng sinh cephalosporin thế hệ 3
Lerphat,Fexofenadin hydroclorid,657,"Kháng histamin thế hệ 2, đối kháng thụ thể h"
Lessenol,Paracetamol,1118,Giảm đau; hạ sốt
Lessenol 325,Paracetamol,1118,Giảm đau; hạ sốt
Lesulpin,Sulpirid,1314,Thuốc chống loạn thần
Letram,Levetiracetam,887,Thuốc điều trị động kinh
Letristan 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Letristan 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Letrozole,Letrozol,885,Thuốc chẹn kênh calci
Letspo,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin"
Leucostim,Filgrastim,659,Yếu tố kích thích tăng trưởng bạch cầu
Leukokine,Filgrastim,659,Yếu tố kích thích tăng trưởng bạch cầu
Levagim,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levatam,Levetiracetam,887,Thuốc điều trị động kinh
Levazid,Gliclazid,729,"Thuốc chống đái tháo đường, dẫn chất sulfonylurê"
Levecetam,Levetiracetam,887,Thuốc điều trị động kinh
Levepsy-250,Levetiracetam,887,Thuốc điều trị động kinh
Levepsy-500,Levetiracetam,887,Thuốc điều trị động kinh
Levetral,Levetiracetam,887,Thuốc điều trị động kinh
Levibact-250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levin Tablets 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levin tablets 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levioloxe,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Leviron,Piracetam,1159,Thuốc trị giun
Levisdon,Risperidon,1249,Thuốc chống loạn thần
Levobac,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levobact,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levocef 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levocef 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
HMG,CoA Reductase,285,"Chống co thắt, kháng muscarinic"
Levocide 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levocide-250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levocil,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levocil IV,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levoday 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levoeye Eye drops,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levof,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levofast Inj.,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levofexin,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levoflex,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levoflomarksans,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levoflox 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levofloxacin 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levofloxacin 250 Glomed,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levofloxacin 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levofloxacin 500 Glomed,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levofloxacin Stada,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levofloxacina Basi,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levofloxacina Farmoz,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levofloxacino G.E.S.,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levofresh Inj.,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levojack-500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levoking,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levoleo 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levoleo 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levolon 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levomepromazine,Levomepromazin,893,"Thuốc chống loạn thần, giảm đau không gây nghiện,"
Levonia,Levonorgestrel,898,Thuốc tránh thai/thuốc tránh thai khẩn cấp loại
Levonia alpha,Levonorgestrel,898,Thuốc tránh thai/thuốc tránh thai khẩn cấp loại
Levonis-250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levonis-500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levonor,Noradrenalin,1065,Thuốc giống thần kinh giao cảm
Leninrazol 20,Esomeprazol,619,Thuốc ức chế bài tiết acid dạ dày thuộc nhóm ức chế
Leninrazol 40,Esomeprazol,619,Thuốc ức chế bài tiết acid dạ dày thuộc nhóm ức chế
Lenvoxae,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
