DrugName,ActiveIngredient,PageNumber
Kupdina,Danazol,486
Kupfloxanal,Ofloxacin,1076
Kupitral,Itraconazol,849
Kuplinko,Lincomycin hydroclorid,905
Kupramickin,Amikacin,176
Kuptoral,Fluorouracil,682
Kuptrisone,Terbinafin hydroclorid,1340
Kupuniclor,Cefaclor,329
Kupunistin,Cisplatin,400
Kutab 10,Olanzapin,1077
Kwang Myung Piracetam,Piracetam,1159
Kwangmyungcefix,Cefixim,351
Kydheamo,1B - Natri bicarbonat,1027
Kyongbo Cefaclor Cap.,Cefaclor,329
Kyongbo Cefuroxime Inj.,Cefuroxim,375
Kyseroxin,Cefuroxim,375
K-Zidime Injection,Ceftazidim,368
Labapraz,Lansoprazol,879
Labetalol hydrochloride,Labetalol hydroclorid,872
Labomin,Levofloxacin,890
Laborat,Risperidon,1249
Laboya,Meropenem,950
Lacbio Pro,Lactobacillus acidophilus,874
Lacepril,Lisinopril,910
Lacepril 5,Lisinopril,910
Laclomez,Clarithromycin,404
Lacovir,Aciclovir,114
Lactat Ringer & Glucose,Ringer lactat,1247
Lactate Ringer,Ringer lactat,1247
Lactated ringer,Ringer lactat,1247
Lactated Ringer’ s injection,Ringer lactat,1247
Lactated ringer’s and dextrose,Ringer lactat,1247
Lactated Ringer’s Injection “Sintong”,Ringer lactat,1247
Lacticare-HC,Hydrocortison,779
Lactoluse Cap,Lactobacillus acidophilus,874
Lactosorbit,Sorbitol,1294
Lactulose Stada,Lactulose,875
Ladexnin,Desloratadin,497
Ladinex,Lamivudin,876
Ladivir,Lamivudin,876
Ladolugel,Nhôm phosphat,1048
Laevolac,Lactulose,875
Lafoncef,Ceftriaxon,371
Lafusidex,Acid fusidic,129
Lamicetam,Piracetam,1159
Lamidac 100,Lamivudin,876
Lamiffix 100,Lamivudin,876
Lamijas,Lamivudin,876
Laminova 100,Lamivudin,876
Lamisil,Terbinafin hydroclorid,1340
Lamisil Dermgel,Terbinafin hydroclorid,1340
Lamisil once,Terbinafin hydroclorid,1340
Lamitick,Lamivudin,876
Lamivase,Lamivudin,876
Lamivudin 100,Lamivudin,876
Lamivudin 100 Glomed,Lamivudin,876
Lamivudin 100 ICA,Lamivudin,876
Lamivudin 150,Lamivudin,876
Lamivudin 150 ICA,Lamivudin,876
Lamivudin Boston 100,Lamivudin,876
Lamivudin-Domesco,Lamivudin,876
Lamivudin Hasan 100,Lamivudin,876
Lamivudin Stada,Lamivudin,876
Lamivudine,Lamivudin,876
Lamivudine 150-SPM,Lamivudin,876
Lamovin,Lamivudin,876
Lamozile-30,Lansoprazol,879
Lamtra,Methylprednisolon,969
Lanacid-30,Lansoprazol,879
Lanazol,Lansoprazol,879
Lanchek-30,Lansoprazol,879
Langamax,Lansoprazol,879
Langast,Lansoprazol,879
Langbiacin,Kanamycin,856
Lanidin Sol. IV . INF,Ciprofloxacin,394
Lanikson,Lansoprazol,879
Lanithina,Ranitidin,1232
Lanizol 30,Lansoprazol,879
Lan-Lan,Levofloxacin,890
Lanlife,30 - Lansoprazol,879
Lanmebi,Lansoprazol,879
Lanola,Glimepirid,731
Lanprasol 15,Lansoprazol,879
Lanprasol 30,Lansoprazol,879
Lans OD 15,Lansoprazol,879
Lansec 30,Lansoprazol,879
Lansina,Lansoprazol,879
Lansindus,Lansoprazol,879
Lansofast,Lansoprazol,879
Lansolek 30,Lansoprazol,879
Lansoliv,Lansoprazol,879
Lansomax,Lansoprazol,879
Lansoprazol Cinfa,Lansoprazol,879
Lansoprazol Stada,Lansoprazol,879
Lansoprazol tvp,Lansoprazol,879
Lansoprazole,Lansoprazol,879
Lansoprazole Stada,Lansoprazol,879
Lansopril-30,Lansoprazol,879
Lansotop,Lansoprazol,879
Lansotrent,Lansoprazol,879
Lansovie,Lansoprazol,879
Lanspro-30,Lansoprazol,879
Lantazolin,Lansoprazol,879
Lantota,Lansoprazol,879
Lantus,Insulin,810
Lantus SoloStar,Insulin,810
Lanzadon,Lansoprazol,879
Lanzee-30,Lansoprazol,879
Lanzmarksans,Lansoprazol,879
Lanzonium,Lansoprazol,879
Lapoce,Bezafibrat,258
Lapryl,Lansoprazol,879
Lapuvir-100,Lamivudin,876
Lapuvir-150,Lamivudin,876
Larevir 150,Lamivudin,876
Larevir 300,Lamivudin,876
Larykid,Clarithromycin,404
Larzole 400,Albendazol,150
Lasoprol 30,Lansoprazol,879
Lasovac,Lansoprazol,879
Lastidyl 2,Glimepirid,731
Lastidyl 4,Glimepirid,731
Lastinem,Imipenem và thuốc ức chế enzym,800
Latoxol,Ambroxol,175
Latyz,Lamivudin,876
Laviz 100,Lamivudin,876
Lavusafe,Lamivudin,876
Lazifovir 300,Tenofovir,1335
Lazilipi 100,Fenofibrat,652
Lazilipi 200,Fenofibrat,652
Lazocolic,Lansoprazol,879
Lazzy,Lamivudin,876
L-Bio,Lactobacillus acidophilus,874
L-Cid,Lansoprazol,879
L-Cin 250,Levofloxacin,890
L-cin 500,Levofloxacin,890
Leadercef,Cefotaxim,357
Lecefti sachet,Cefixim,351
Lecefti-200,Cefixim,351
Lecinflox OPH,Levofloxacin,890
Lecoject,Lincomycin hydroclorid,905
Lefelo,Levofloxacin,890
Lefidim,Ceftazidim,368
Lefloinfusion,Levofloxacin,890
Lefloxa 250,Levofloxacin,890
Lefloxa 500,Levofloxacin,890
Leflumax,Levofloxacin,890
Leflunomide,Leflunomid,881
Lefquin,Levofloxacin,890
Lefra-20,Leflunomid,881
Lefrocix,Levofloxacin,890
Lefvox,Levofloxacin,890
Lefvox-250,Levofloxacin,890
Lefxacin,Levofloxacin,890
Lefzomed,Cefazolin,343
Leginin 500 Inj.,Levofloxacin,890
Legomux,Ambroxol,175
Leivis,Ketoconazol,861
Lelocin 5,Flunarizin,678
Lemibet IV,Imipenem và thuốc ức chế enzym,800
Lemidina,Lamivudin,876
Leninrazol 20,Esomeprazol,619
Leninrazol 40,Esomeprazol,619
Lenvoxae,Levofloxacin,890
Lepigin 100,Clozapin,455
Lepigin 25,Clozapin,455
Leponex,Clozapin,455
Lequinic,Levofloxacin,890
Lercanidipine,Lercanidipin,884
Lercanidipine meyer,Lercanidipin,884
Lergitec tablet,Cetirizin hydroclorid,381
Lerivu,Cefotaxim,357
Lerphat,Fexofenadin hydroclorid,657
Lessenol,Paracetamol,1118
Lessenol 325,Paracetamol,1118
Lesulpin,Sulpirid,1314
Letram,Levetiracetam,887
Letristan 250,Levofloxacin,890
Letristan 500,Levofloxacin,890
Letrozole,Letrozol,885
Letspo,Terbinafin hydroclorid,1340
Leucostim,Filgrastim,659
Leukokine,Filgrastim,659
Levagim,Levofloxacin,890
Levatam,Levetiracetam,887
Levazid,Gliclazid,729
Levecetam,Levetiracetam,887
Levepsy-250,Levetiracetam,887
Levepsy-500,Levetiracetam,887
Levetral,Levetiracetam,887
Levibact-250,Levofloxacin,890
Levin Tablets 250,Levofloxacin,890
Levin tablets 500,Levofloxacin,890
Levioloxe,Levofloxacin,890
Leviron,Piracetam,1159
Levisdon,Risperidon,1249
Levobac,Levofloxacin,890
Levobact,Levofloxacin,890
Levocef 250,Levofloxacin,890
Levocef 500,Levofloxacin,890
HMG,CoA Reductase,285
Levocide 500,Levofloxacin,890
Levocide-250,Levofloxacin,890
Levocil,Levofloxacin,890
Levocil IV,Levofloxacin,890
Levoday 250,Levofloxacin,890
Levoeye Eye drops,Levofloxacin,890
Levof,Levofloxacin,890
Levofast Inj.,Levofloxacin,890
Levofexin,Levofloxacin,890
Levoflex,Levofloxacin,890
Levoflomarksans,Levofloxacin,890
Levoflox 500,Levofloxacin,890
Levofloxacin 250,Levofloxacin,890
Levofloxacin 250 Glomed,Levofloxacin,890
Levofloxacin 500,Levofloxacin,890
Levofloxacin 500 Glomed,Levofloxacin,890
Levofloxacin Stada,Levofloxacin,890
Levofloxacina Basi,Levofloxacin,890
Levofloxacina Farmoz,Levofloxacin,890
Levofloxacino G.E.S.,Levofloxacin,890
Levofresh Inj.,Levofloxacin,890
Levojack-500,Levofloxacin,890
Levoking,Levofloxacin,890
Levoleo 250,Levofloxacin,890
Levoleo 500,Levofloxacin,890
Levolon 500,Levofloxacin,890
Levomepromazine,Levomepromazin,893
Levonia,Levonorgestrel,898
Levonia alpha,Levonorgestrel,898
Levonis-250,Levofloxacin,890
Levonis-500,Levofloxacin,890
Levonor,Noradrenalin,1065
Leninrazol 20,Esomeprazol,619
Leninrazol 40,Esomeprazol,619
Lenvoxae,Levofloxacin,890
Lepigin 100,Clozapin,455
Lepigin 25,Clozapin,455
Leponex,Clozapin,455
Lequinic,Levofloxacin,890
Lercanidipine,Lercanidipin,884
Lercanidipine meyer,Lercanidipin,884
Lergitec tablet,Cetirizin hydroclorid,381
Lerivu,Cefotaxim,357
Lerphat,Fexofenadin hydroclorid,657
Lessenol,Paracetamol,1118
Lessenol 325,Paracetamol,1118
Lesulpin,Sulpirid,1314
Letram,Levetiracetam,887
Letristan 250,Levofloxacin,890
Letristan 500,Levofloxacin,890
Letrozole,Letrozol,885
Letspo,Terbinafin hydroclorid,1340
Leucostim,Filgrastim,659
Leukokine,Filgrastim,659
Levagim,Levofloxacin,890
Levatam,Levetiracetam,887
Levazid,Gliclazid,729
Levecetam,Levetiracetam,887
Levepsy-250,Levetiracetam,887
Levepsy-500,Levetiracetam,887
Levetral,Levetiracetam,887
Levibact-250,Levofloxacin,890
Levin Tablets 250,Levofloxacin,890
Levin tablets 500,Levofloxacin,890
Levioloxe,Levofloxacin,890
Leviron,Piracetam,1159
Levisdon,Risperidon,1249
Levobac,Levofloxacin,890
Levobact,Levofloxacin,890
Levocef 250,Levofloxacin,890
Levocef 500,Levofloxacin,890
HMG,CoA Reductase,285
Levocide 500,Levofloxacin,890
Levocide-250,Levofloxacin,890
Levocil,Levofloxacin,890
Levocil IV,Levofloxacin,890
Levoday 250,Levofloxacin,890
Levoeye Eye drops,Levofloxacin,890
Levof,Levofloxacin,890
Levofast Inj.,Levofloxacin,890
Levofexin,Levofloxacin,890
Levoflex,Levofloxacin,890
Levoflomarksans,Levofloxacin,890
Levoflox 500,Levofloxacin,890
Levofloxacin 250,Levofloxacin,890
Levofloxacin 250 Glomed,Levofloxacin,890
Levofloxacin 500,Levofloxacin,890
Levofloxacin 500 Glomed,Levofloxacin,890
Levofloxacin Stada,Levofloxacin,890
Levofloxacina Basi,Levofloxacin,890
Levofloxacina Farmoz,Levofloxacin,890
Levofloxacino G.E.S.,Levofloxacin,890
Levofresh Inj.,Levofloxacin,890
Levojack-500,Levofloxacin,890
Levoking,Levofloxacin,890
Levoleo 250,Levofloxacin,890
Levoleo 500,Levofloxacin,890
Levolon 500,Levofloxacin,890
Levomepromazine,Levomepromazin,893
Levonia,Levonorgestrel,898
Levonia alpha,Levonorgestrel,898
Levonis-250,Levofloxacin,890
Levonis-500,Levofloxacin,890
Levonor,Noradrenalin,1065
Levoquin,Levofloxacin,890
Levoquin 250,Levofloxacin,890
Levoquin 500,Levofloxacin,890
Levostar 500,Levofloxacin,890
Levosum,Levothyroxin,900
Levotamaxe,Levofloxacin,890
Levothyrox,Levothyroxin,900
Levothyroxin 50,Levothyroxin,900
Levothyroxin 100,Levothyroxin,900
Levothyroxine,Levothyroxin,900
Levotop,Levofloxacin,890
Levotop-250,Levofloxacin,890
Levotop-500,Levofloxacin,890
Levzal-500,Levofloxacin,890
Lexibcure-250,Cefuroxim,375
Lexibcure-500,Cefuroxim,375
Lexicure,Cefpodoxim proxetil,363
Lexicure 200,Cefpodoxim proxetil,363
Leximarksans 250,Cefalexin,334
Leximarksans 500,Cefalexin,334
Lexin 250,Cefalexin,334
Lexin 500,Cefalexin,334
Lexinmingo 250,Cefalexin,334
Lexinmingo 500,Cefalexin,334
Lexyl-OD,Levofloxacin,890
Lezovar,Lansoprazol,879
Libefid,Arginin,205
Libradim,Ceftazidim,368
Licotam,Imipenem và thuốc ức chế enzym,800
Lidenthyl 200,Fenofibrat,652
Lidocain 40,Lidocain,903
Lidocain hydroclorid,Lidocain,903
Lidocain Kabi,Lidocain,903
Lidocaine,Lidocain,903
Lidocaine Hydrochloride,Lidocain,903
Lidoinject 40,Lidocain,903
Lifcin-500,Levofloxacin,890
Lifecef 100 DT,Cefixim,351
Lifecef 200 DT,Cefixim,351
Lifedroxin Capsule,Cefadroxil,332
Lifemore,Fenofibrat,652
Lifenac,Diclofenac,515
Lifezar,Losartan,927
Lifibrat 200,Fenofibrat,652
Lifibrat 300,Fenofibrat,652
Likacin,Amikacin,176
Lilonton,Piracetam,1159
Lilonton F.C.,Piracetam,1159
Limatex,100 - Lamivudin,876
Limdopa,Dopamin,562
Limhepa,Heparin,767
Limper 1,Glimepirid,731
Limper 2,Glimepirid,731
Limpet-2,Glimepirid,731
Lincar B,Lincomycin hydroclorid,905
Lincincef,Lamivudin,876
Lincodazin,Lincomycin hydroclorid,905
Lincoharbin,Lincomycin hydroclorid,905
Lincoinject 600,Lincomycin hydroclorid,905
Lincolife,Lincomycin hydroclorid,905
Lincomycin 500,Lincomycin hydroclorid,905
Lincomycin capsules BP,Lincomycin hydroclorid,905
Lincopi Inj,Lincomycin hydroclorid,905
Lincostad 500,Lincomycin hydroclorid,905
Lindacap,Clindamycin,407
Lindane,Lindan,906
Linmycine,Lincomycin hydroclorid,905
Linmycine 500,Lincomycin hydroclorid,905
Linorip,Lisinopril,910
Lionel,Arginin,205
Liothyronine,Liothyronin,908
Lipagim 160,Fenofibrat,652
Lipagim 200,Fenofibrat,652
Lipagim 300,Fenofibrat,652
Lipanthyl,Fenofibrat,652
Lipanthyl 200M,Fenofibrat,652
Lipanthyl Supra,Fenofibrat,652
Lipanthyl Supra NT,Fenofibrat,652
Lipdin 100,Fenofibrat,652
Lipdin 200,Fenofibrat,652
Lipenthyl 100,Fenofibrat,652
Lipewin,Losartan,927
Lipewin 100,Losartan,927
Lipicard,Fenofibrat,652
Lipicard-160,Fenofibrat,652
Lipidcare,Fenofibrat,652
Lipidcare 100,Fenofibrat,652
Lipiden Caps.,Gemfibrozil,718
Lipirate,Fenofibrat,652
Lipirate 160,Fenofibrat,652
Lipirate 300,Fenofibrat,652
Liplatin 100,Oxaliplatin,1092
Liplatin 50,Oxaliplatin,1092
Lipofor 600,Gemfibrozil,718
Liprilex,Lisinopril,910
Liquid paraffin,Parafin lỏng,1121
Lirnac,Perindopril,1131
Lironem,Meropenem,950
Lisace,Levofloxacin,890
Lisanolona,Triamcinolon,1407
Lisinopril 1A,Lisinopril,910
Lisinopril Antibiotice,Lisinopril,910
Lisinopril stada,Lisinopril,910
Lisoflox,Levofloxacin,890
Lisopress,Lisinopril,910
Lisoril-5,Lisinopril,910
Listril 10,Lisinopril,910
Listril 5,Lisinopril,910
Litapitam Granules,Piracetam,1159
Lithium carbonate,Lithi carbonat,912
Lipanthyl Supra NT,Fenofibrat,652
Lipdin 100,Fenofibrat,652
Lipdin 200,Fenofibrat,652
Lipenthyl 100,Fenofibrat,652
Lipewin,Losartan,927
Lipewin 100,Losartan,927
Lipicard,Fenofibrat,652
Lipicard-160,Fenofibrat,652
Lipidcare,Fenofibrat,652
Lipidcare 100,Fenofibrat,652
Lipiden Caps.,Gemfibrozil,718
Lipirate,Fenofibrat,652
Lipirate 160,Fenofibrat,652
Lipirate 300,Fenofibrat,652
Liplatin 100,Oxaliplatin,1092
Liplatin 50,Oxaliplatin,1092
Lipofor 600,Gemfibrozil,718
Liprilex,Lisinopril,910
Liquid paraffin,Parafin lỏng,1121
Lirnac,Perindopril,1131
Lironem,Meropenem,950
Lisace,Levofloxacin,890
Lisanolona,Triamcinolon,1407
Lisinopril 1A,Lisinopril,910
Lisinopril Antibiotice,Lisinopril,910
Lisinopril stada,Lisinopril,910
Lisoflox,Levofloxacin,890
Lisopress,Lisinopril,910
Lisoril-5,Lisinopril,910
Listril 10,Lisinopril,910
Listril 5,Lisinopril,910
Litapitam Granules,Piracetam,1159
Lithium carbonate,Lithi carbonat,912
Liveraid,Ribavirin,1240
Liverese,Arginin,205
Livervudin,Lamivudin,876
Livoluk,Lactulose,875
Livoxee,Levofloxacin,890
Livran-500,Levofloxacin,890
Lobitzo,Levofloxacin,890
Lobonxol,Ambroxol,175
Locacid,Tretinoin (thuốc bôi),1404
Locimez 20,Omeprazol,1080
Locobile 100,Celecoxib,379
Locobile 200,Celecoxib,379
Lodimax,Amlodipin,187
Lodipine-C,Amlodipin,187
Lodium,Loperamid,918
Lodnets 500,Levofloxacin,890
Lodovax,Clopidogrel,425
Lofin 15,Pioglitazon,1151
Lofin 30,Pioglitazon,1151
Lofnac 100,Diclofenac,515
Lofrinex,Timolol (thuốc nhỏ mắt),1382
Logmaz- NIC,Omeprazol,1080
Loguar,Glimepirid,731
Lohatidin,Loratadin,923
Lokcomin,Losartan,927
Lolergy,Loratadin,923
Lomac 20,Omeprazol,1080
Lomac IV,Omeprazol,1080
Lomatel,Loratadin,923
Lomedium,Loperamid,918
Lomekan,Loperamid,918
Lomifin,Terbinafin hydroclorid,1340
Lomindus,Omeprazol,1080
Lomustine,Lomustin,916
Londu 100,Albendazol,150
Londu 200,Albendazol,150
Londu 200mg tab.,Albendazol,150
Longtime,Lidocain,903
Lo-Niac,Omeprazol,1080
Lonlor,Loratadin,923
Lopefort,Loratadin,923
Lopegoric,Loperamid,918
Loperaglobe,Loperamid,918
Loperamark 2,Loperamid,918
Loperamid,BVP - Loperamid,918
Loperamid Stada,Loperamid,918
Loperamide,Loperamid,918
Loperamide Hexal,Loperamid,918
Loperamide Hydrochloride,Loperamid,918
LoperamidSPM,Loperamid,918
Lopetab,Loperamid,918
Lopid,Gemfibrozil,718
Lopigim 300,Gemfibrozil,718
Lopigim 600,Gemfibrozil,718
Lopinavir and ritonavir,Lopinavir và ritonavir,919
Lopioz,Omeprazol,1080
Lopytix,Loperamid,918
Lorad,Loratadin,923
Loradityl,Loratadin,923
Lorafar,Loratadin,923
Lorafast,Loratadin,923
Lorakiz,Loratadin,923
Loramark,Loratadin,923
Loramide,Lamivudin,876
Loranic,Desloratadin,497
Lorastad,Loratadin,923
Lorastad D,Desloratadin,497
Lorasweet,Loratadin,923
Loratadin 10,Loratadin,923
Loratadin Stada,Loratadin,923
Loratadine,Loratadin,923
Loratadine 10,Loratadin,923
Loratadine-AQP,Loratadin,923
Loratin 10,Loratadin,923
Loravidi,Loratadin,923
Lordivas,Amlodipin,187
Loreta 10,Loratadin,923
Lorfast,Loratadin,923
Loriday,Desloratadin,497
Loridin Rapitab,Loratadin,923
Lorinet,Loratadin,923
Loriquick 100,Cefpodoxim proxetil,363
Loriquick 200,Cefpodoxim proxetil,363
Lorista,Losartan,927
Lormide,Loperamid,918
Lornine,Loratadin,923
Lortalesvi,Loratadin,923
Lorucet-10,Loratadin,923
Lorvas,Indapamid,804
Lorytec 10,Loratadin,923
Losacar-25,Losartan,927
Losacar-50,Losartan,927
Losagen-25,Losartan,927
Losagen-50,Losartan,927
Losamark 25,Losartan,927
Losamark 50,Losartan,927
Losap 25,Losartan,927
Losap 50,Losartan,927
Losapin 100,Losartan,927
Losapin 50,Losartan,927
Losardil-25,Losartan,927
Losarlife,Losartan,927
Losartan 25 Glomed,Losartan,927
Losartan 50,Losartan,927
Losartan 50 Glomed,Losartan,927
Losartan Boston 50,Losartan,927
Losartan Potassium,Losartan,927
Losartan -Sandoz,Losartan,927
Losartan Stada,Losartan,927
Losartan-Teva,Losartan,927
Losartas-25,Losartan,927
Losartas-50,Losartan,927
Losatrust-25,Losartan,927
Losatrust-50,Losartan,927
Losec,Omeprazol,1080
Losiral,Letrozol,885
Losium 50,Losartan,927
Losposi,Losartan,927
Lostad 25,Losartan,927
Lotalgesic,Meloxicam,940
Lotas-25,Losartan,927
Lotas-50,Losartan,927
Lotemp,Paracetamol,1118
Lothisil,Propylthiouracil,1208
Lotufast,Fexofenadin hydroclorid,657
Lovacin,Ofloxacin,1076
Lovastatin,Các chất ức chế HMG - CoA reductase,285
Love-Days,Levonorgestrel,898
Lovir,Aciclovir,114
Loviza 500,Levofloxacin,890
Loviza 750,Levofloxacin,890
Lovoxine,Levofloxacin,890
Lowlip-20,Telmisartan,1328
Lowlip-40,Telmisartan,1328
Lowlip-80,Telmisartan,1328
Lowpain,Meloxicam,940
Lowxib-200,Celecoxib,379
Loximat,Levofloxacin,890
Loxof 500,Levofloxacin,890
Loxone,Norfloxacin,1069
Loxozole,Omeprazol,1080
Loxwin-200,Ofloxacin,1076
L-Thyroxin,Levothyroxin,900
Lucass,Cefpodoxim proxetil,363
Lucass 100,Cefpodoxim proxetil,363
Lucass 200,Cefpodoxim proxetil,363
Lucip,Lansoprazol,879
Luckminesin,Mephenesin,944
Lucyxone,Ambroxol,175
Ludin,Roxithromycin,1260
Ludox 100,Cefpodoxim proxetil,363
Ludox 200,Cefpodoxim proxetil,363
Ludox 50,Cefpodoxim proxetil,363
Lufi-500,Levofloxacin,890
Lufixime 100,Cefixim,351
Lufixime 200,Cefixim,351
Lufocin,Ciprofloxacin,394
Lufogel,Lactulose,875
Lumidone Inj,Phenobarbital,1135
Loreta 10,Loratadin,923
Lorfast,Loratadin,923
Loriday,Desloratadin,497
Loridin Rapitab,Loratadin,923
Lorinet,Loratadin,923
Loriquick 100,Cefpodoxim proxetil,363
Loriquick 200,Cefpodoxim proxetil,363
Lorista,Losartan,927
Lormide,Loperamid,918
Lornine,Loratadin,923
Lortalesvi,Loratadin,923
Lorucet-10,Loratadin,923
Lorvas,Indapamid,804
Lorytec 10,Loratadin,923
Losacar-25,Losartan,927
Losacar-50,Losartan,927
Losagen-25,Losartan,927
Losagen-50,Losartan,927
Losamark 25,Losartan,927
Losamark 50,Losartan,927
Losap 25,Losartan,927
Losap 50,Losartan,927
Losapin 100,Losartan,927
Losapin 50,Losartan,927
Losardil-25,Losartan,927
Losarlife,Losartan,927
Losartan 25 Glomed,Losartan,927
Losartan 50,Losartan,927
Losartan 50 Glomed,Losartan,927
Losartan Boston 50,Losartan,927
Losartan Potassium,Losartan,927
Losartan -Sandoz,Losartan,927
Losartan Stada,Losartan,927
Losartan-Teva,Losartan,927
Losartas-25,Losartan,927
Losartas-50,Losartan,927
Losatrust-25,Losartan,927
Losatrust-50,Losartan,927
Losec,Omeprazol,1080
Losiral,Letrozol,885
Losium 50,Losartan,927
Losposi,Losartan,927
Lostad 25,Losartan,927
Lotalgesic,Meloxicam,940
Lotas-25,Losartan,927
Lotas-50,Losartan,927
Lotemp,Paracetamol,1118
Lothisil,Propylthiouracil,1208
Lotufast,Fexofenadin hydroclorid,657
Lovacin,Ofloxacin,1076
Lovastatin,Các chất ức chế HMG - CoA reductase,285
Love-Days,Levonorgestrel,898
Lovir,Aciclovir,114
Loviza 500,Levofloxacin,890
Loviza 750,Levofloxacin,890
Lovoxine,Levofloxacin,890
Lowlip-20,Telmisartan,1328
Lowlip-40,Telmisartan,1328
Lowlip-80,Telmisartan,1328
Lowpain,Meloxicam,940
Lowxib-200,Celecoxib,379
Loximat,Levofloxacin,890
Loxof 500,Levofloxacin,890
Loxone,Norfloxacin,1069
Loxozole,Omeprazol,1080
Loxwin-200,Ofloxacin,1076
L-Thyroxin,Levothyroxin,900
Lucass,Cefpodoxim proxetil,363
Lucass 100,Cefpodoxim proxetil,363
Lucass 200,Cefpodoxim proxetil,363
Lucip,Lansoprazol,879
Luckminesin,Mephenesin,944
Lucyxone,Ambroxol,175
Ludin,Roxithromycin,1260
Ludox 100,Cefpodoxim proxetil,363
Ludox 200,Cefpodoxim proxetil,363
Ludox 50,Cefpodoxim proxetil,363
Lufi-500,Levofloxacin,890
Lufixime 100,Cefixim,351
Lufixime 200,Cefixim,351
Lufocin,Ciprofloxacin,394
Lufogel,Lactulose,875
Lumidone Inj,Phenobarbital,1135
Lupimox,Amoxicilin,188
Lusazym,Trimetazidin,1412
LVZ Zifam 500,Levofloxacin,890
Lycocin,Capreomycin,311
Lycoplan,Teicoplanin,1326
Lydoxim,Cefuroxim,375
Lydozim,Ceftazidim,368
Lyhepadin,Lamivudin,876
Lyhynax,Econazol,577
Lykalyfaxone,Ceftriaxon,371
Lykamox 250,Amoxicilin,188
Lykamox 500,Amoxicilin,188
