DrugName,ActiveIngredient,PageNumber,Category,Is_Prescription
Labetalol hydrochloride,Labetalol hydroclorid,872,Thuốc chống tăng huyết áp; thuốc ức chế thụ thể beta,True
Labomin,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Laborat,Risperidon,1249,Thuốc chống loạn thần,True
Laboya,Meropenem,950,"Kháng sinh nhóm carbapenem, họ beta-lactam",True
Lacbio Pro,Lactobacillus acidophilus,874,Vi khuẩn sinh acid lactic,False
Lacepril,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin,False
Lacepril 5,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin,False
Laclomez,Clarithromycin,404,Kháng sinh macrolid bán tổng hợp,True
Lacovir,Aciclovir,114,Thuốc chống virus,True
Lactat Ringer & Glucose,Ringer lactat,1247,Dịch truyền tĩnh mạch,True
Lactate Ringer,Ringer lactat,1247,Dịch truyền tĩnh mạch,True
Lactated ringer,Ringer lactat,1247,Dịch truyền tĩnh mạch,True
Lactated Ringer’ s injection,Ringer lactat,1247,Dịch truyền tĩnh mạch,True
Lactated ringer’s and dextrose,Ringer lactat,1247,Dịch truyền tĩnh mạch,True
Lactated Ringer’s Injection “Sintong”,Ringer lactat,1247,Dịch truyền tĩnh mạch,True
Lacticare-HC,Hydrocortison,779,"Glucocorticosteroid, corticosteroid",True
Lactoluse Cap,Lactobacillus acidophilus,874,Vi khuẩn sinh acid lactic,False
Lactosorbit,Sorbitol,1294,Thuốc nhuận tràng thẩm thấu,False
Lactulose Stada,Lactulose,875,Vi khuẩn sinh acid lactic,False
Ladexnin,Desloratadin,497,Thuốc diệt ký sinh trùng đơn bào,False
Ladinex,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Ladivir,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Ladolugel,Nhôm phosphat,1048,Kháng acid,False
Laevolac,Lactulose,875,Vi khuẩn sinh acid lactic,False
Lafoncef,Ceftriaxon,371,Kháng sinh nhóm cephalosporin thế hệ 3,True
Lafusidex,Acid fusidic,129,"Vitamin nhóm b, chất dinh dưỡng",False
Lamicetam,Piracetam,1159,Thuốc trị giun,False
Lamidac 100,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamiffix 100,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamijas,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Laminova 100,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamisil,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin",False
Lamisil Dermgel,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin",False
Lamisil once,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin",False
Lamitick,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamivase,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamivudin 100,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamivudin 100 Glomed,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamivudin 100 ICA,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamivudin 150,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamivudin 150 ICA,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamivudin Boston 100,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamivudin-Domesco,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamivudin Hasan 100,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamivudin Stada,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamivudine,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamivudine 150-SPM,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamovin,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamozile-30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lamtra,Methylprednisolon,969,Thuốc glucocorticoid tổng hợp,True
Lanacid-30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lanazol,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lanchek-30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Langamax,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Kukjekemocin,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2",True
Kukjekemocin Dry Syrup,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2",True
Kukjemefen,Meloxicam,940,Thuốc chống viêm không steroid,True
Kukjetrilcef,Cefradin,366,Kháng sinh nhóm cephalosporin thế hệ 1,True
Kukjetrona,Tobramycin,1392,Kháng sinh nhóm aminoglycosid,True
Kuktrim,Spectinomycin,1298,Kháng sinh (aminocyclitol),True
Kuniclav,Amoxicilin và kali clavulanat,192,Kháng sinh,True
Kunoxy Plus,Ofloxacin,1076,Kháng sinh nhóm quinolon,True
Kunrolac,Ketorolac,867,Chưa phân loại,False
Kupcefin For Inj,Ceftriaxon,371,Kháng sinh nhóm cephalosporin thế hệ 3,True
Kupcolkin,Colchicin,461,Chống bệnh gút,False
Kupdina,Danazol,486,Androgen,False
Kupfloxanal,Ofloxacin,1076,Kháng sinh nhóm quinolon,True
Kupitral,Itraconazol,849,Chống nấm,False
Kuplinko,Lincomycin hydroclorid,905,Kháng sinh nhóm lincosamid,True
Kupramickin,Amikacin,176,Kháng sinh họ aminoglycosid,True
Kuptoral,Fluorouracil,682,"Thuốc chống ung thư, loại chống chuyển hóa",True
Kuptrisone,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin",False
Kupuniclor,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2",True
Kupunistin,Cisplatin,400,Thuốc hóa trị liệu chống ung thư,True
Kutab 10,Olanzapin,1077,Kháng sinh nhóm quinolon,True
Kwang Myung Piracetam,Piracetam,1159,Thuốc trị giun,False
Kwangmyungcefix,Cefixim,351,Kháng sinh cephalosporin thế hệ 3,True
Kydheamo,1B - Natri bicarbonat,1027,Thuốc chống nấm (tại chỗ),False
Kyongbo Cefaclor Cap.,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2",True
Kyongbo Cefuroxime Inj.,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2,True
Kyseroxin,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2,True
K-Zidime Injection,Ceftazidim,368,Kháng sinh nhóm cephalosporin thế hệ 3,True
Labapraz,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Labetalol hydrochloride,Labetalol hydroclorid,872,Thuốc chống tăng huyết áp; thuốc ức chế thụ thể beta,True
Labomin,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Laborat,Risperidon,1249,Thuốc chống loạn thần,True
Laboya,Meropenem,950,"Kháng sinh nhóm carbapenem, họ beta-lactam",True
Lacbio Pro,Lactobacillus acidophilus,874,Vi khuẩn sinh acid lactic,False
Lacepril,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin,False
Lacepril 5,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin,False
Laclomez,Clarithromycin,404,Kháng sinh macrolid bán tổng hợp,True
Lacovir,Aciclovir,114,Thuốc chống virus,True
Lactat Ringer & Glucose,Ringer lactat,1247,Dịch truyền tĩnh mạch,True
Lactate Ringer,Ringer lactat,1247,Dịch truyền tĩnh mạch,True
Lactated ringer,Ringer lactat,1247,Dịch truyền tĩnh mạch,True
Lactated Ringer’ s injection,Ringer lactat,1247,Dịch truyền tĩnh mạch,True
Lactated ringer’s and dextrose,Ringer lactat,1247,Dịch truyền tĩnh mạch,True
Lactated Ringer’s Injection “Sintong”,Ringer lactat,1247,Dịch truyền tĩnh mạch,True
Lacticare-HC,Hydrocortison,779,"Glucocorticosteroid, corticosteroid",True
Lactoluse Cap,Lactobacillus acidophilus,874,Vi khuẩn sinh acid lactic,False
Lactosorbit,Sorbitol,1294,Thuốc nhuận tràng thẩm thấu,False
Lactulose Stada,Lactulose,875,Vi khuẩn sinh acid lactic,False
Ladexnin,Desloratadin,497,Thuốc diệt ký sinh trùng đơn bào,False
Ladinex,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Ladivir,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Ladolugel,Nhôm phosphat,1048,Kháng acid,False
Laevolac,Lactulose,875,Vi khuẩn sinh acid lactic,False
Lafoncef,Ceftriaxon,371,Kháng sinh nhóm cephalosporin thế hệ 3,True
Lafusidex,Acid fusidic,129,"Vitamin nhóm b, chất dinh dưỡng",False
Lamicetam,Piracetam,1159,Thuốc trị giun,False
Lamidac 100,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamiffix 100,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamijas,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Laminova 100,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamisil,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin",False
Lamisil Dermgel,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin",False
Lamisil once,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin",False
Lamitick,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamivase,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamivudin 100,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamivudin 100 Glomed,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamivudin 100 ICA,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamivudin 150,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamivudin 150 ICA,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamivudin Boston 100,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamivudin-Domesco,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamivudin Hasan 100,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamivudin Stada,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamivudine,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamivudine 150-SPM,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamovin,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lamozile-30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lamtra,Methylprednisolon,969,Thuốc glucocorticoid tổng hợp,True
Lanacid-30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lanazol,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lanchek-30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Langamax,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Langast,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Langbiacin,Kanamycin,856,Kháng sinh nhóm aminoglycosid,True
Lanidin Sol. IV . INF,Ciprofloxacin,394,Kháng sinh nhóm fluoroquinolon,True
Lanikson,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lanithina,Ranitidin,1232,Đối kháng thụ thể h2 histamin,False
Lanizol 30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lan-Lan,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Lanlife,30 - Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lanmebi,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lanola,Glimepirid,731,"Thuốc chống đái tháo đường, dẫn chất sulfonylurê",True
Lanprasol 15,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lanprasol 30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lans OD 15,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansec 30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansina,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansindus,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansofast,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansolek 30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansoliv,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansomax,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansoprazol Cinfa,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansoprazol Stada,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansoprazol tvp,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansoprazole,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansoprazole Stada,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansopril-30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansotop,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansotrent,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansovie,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lanspro-30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lantazolin,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lantota,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lantus,Insulin,810,"Hormon làm hạ glucose máu, hormon chống đái tháo",True
Lantus SoloStar,Insulin,810,"Hormon làm hạ glucose máu, hormon chống đái tháo",True
Lanzadon,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lanzee-30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lanzmarksans,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lanzonium,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lapoce,Bezafibrat,258,Thuốc chống rối loạn lipid huyết (nhóm fibrat),False
Lapryl,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lapuvir-100,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lapuvir-150,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Larevir 150,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Larevir 300,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Larykid,Clarithromycin,404,Kháng sinh macrolid bán tổng hợp,True
Larzole 400,Albendazol,150,Thuốc trị giun sán,False
Lasoprol 30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lasovac,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lastidyl 2,Glimepirid,731,"Thuốc chống đái tháo đường, dẫn chất sulfonylurê",True
Lastidyl 4,Glimepirid,731,"Thuốc chống đái tháo đường, dẫn chất sulfonylurê",True
Lastinem,Imipenem và thuốc ức chế enzym,800,Kháng sinh nhóm beta-lactam,True
Latoxol,Ambroxol,175,Thuốc long đờm,False
Latyz,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Laviz 100,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lavusafe,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Lazifovir 300,Tenofovir,1335,Thuốc kháng retrovirus,True
Lazilipi 100,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat),False
Lazilipi 200,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat),False
Lazocolic,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lazzy,Lamivudin,876,Thuốc kháng retrovirus và virus,True
L-Bio,Lactobacillus acidophilus,874,Vi khuẩn sinh acid lactic,False
L-Cid,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
L-Cin 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
L-cin 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Leadercef,Cefotaxim,357,Kháng sinh cephalosporin thế hệ 3,True
Lecefti sachet,Cefixim,351,Kháng sinh cephalosporin thế hệ 3,True
Lecefti-200,Cefixim,351,Kháng sinh cephalosporin thế hệ 3,True
Lecinflox OPH,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Lecoject,Lincomycin hydroclorid,905,Kháng sinh nhóm lincosamid,True
Lefelo,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Lefidim,Ceftazidim,368,Kháng sinh nhóm cephalosporin thế hệ 3,True
Lefloinfusion,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Lefloxa 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Lefloxa 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Leflumax,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Leflunomide,Leflunomid,881,Thuốc điều hòa miễn dịch kháng viêm khớp làm thay,False
Lefquin,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Lefra-20,Leflunomid,881,Thuốc điều hòa miễn dịch kháng viêm khớp làm thay,False
Lefrocix,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Lefvox,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Lefvox-250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Lefxacin,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Lefzomed,Cefazolin,343,Kháng sinh cephalosporin thế hệ 1,True
Leginin 500 Inj.,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Legomux,Ambroxol,175,Thuốc long đờm,False
Leivis,Ketoconazol,861,Chống nấm có hoạt phổ rộng,False
Lelocin 5,Flunarizin,678,Thuốc chẹn kênh calci,False
Lemibet IV,Imipenem và thuốc ức chế enzym,800,Kháng sinh nhóm beta-lactam,True
Lemidina,Lamivudin,876,Thuốc kháng retrovirus và virus,True
Leninrazol 20,Esomeprazol,619,Thuốc ức chế bài tiết acid dạ dày thuộc nhóm ức chế,False
Leninrazol 40,Esomeprazol,619,Thuốc ức chế bài tiết acid dạ dày thuộc nhóm ức chế,False
Lenvoxae,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Lepigin 100,Clozapin,455,Thuốc an thần kinh không điển hình/thuốc chống loạn,True
Lepigin 25,Clozapin,455,Thuốc an thần kinh không điển hình/thuốc chống loạn,True
Leponex,Clozapin,455,Thuốc an thần kinh không điển hình/thuốc chống loạn,True
Lequinic,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Lercanidipine,Lercanidipin,884,Thuốc chẹn kênh calci,False
Lercanidipine meyer,Lercanidipin,884,Thuốc chẹn kênh calci,False
Lergitec tablet,Cetirizin hydroclorid,381,Kháng histamin; đối kháng thụ thể h,False
Lerivu,Cefotaxim,357,Kháng sinh cephalosporin thế hệ 3,True
Lerphat,Fexofenadin hydroclorid,657,"Kháng histamin thế hệ 2, đối kháng thụ thể h",False
Lessenol,Paracetamol,1118,Giảm đau; hạ sốt,False
Lessenol 325,Paracetamol,1118,Giảm đau; hạ sốt,False
Lesulpin,Sulpirid,1314,Thuốc chống loạn thần,True
Letram,Levetiracetam,887,Thuốc điều trị động kinh,False
Letristan 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Letristan 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Letrozole,Letrozol,885,Thuốc chẹn kênh calci,False
Letspo,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin",False
Leucostim,Filgrastim,659,Yếu tố kích thích tăng trưởng bạch cầu,False
Leukokine,Filgrastim,659,Yếu tố kích thích tăng trưởng bạch cầu,False
Levagim,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levatam,Levetiracetam,887,Thuốc điều trị động kinh,False
Levazid,Gliclazid,729,"Thuốc chống đái tháo đường, dẫn chất sulfonylurê",True
Levecetam,Levetiracetam,887,Thuốc điều trị động kinh,False
Levepsy-250,Levetiracetam,887,Thuốc điều trị động kinh,False
Levepsy-500,Levetiracetam,887,Thuốc điều trị động kinh,False
Levetral,Levetiracetam,887,Thuốc điều trị động kinh,False
Levibact-250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levin Tablets 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levin tablets 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levioloxe,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Leviron,Piracetam,1159,Thuốc trị giun,False
Levisdon,Risperidon,1249,Thuốc chống loạn thần,True
Levobac,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levobact,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levocef 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levocef 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
HMG,CoA Reductase,285,"Chống co thắt, kháng muscarinic",False
Levocide 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levocide-250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levocil,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levocil IV,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levoday 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levoeye Eye drops,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levof,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levofast Inj.,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levofexin,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levoflex,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levoflomarksans,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levoflox 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levofloxacin 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levofloxacin 250 Glomed,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levofloxacin 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levofloxacin 500 Glomed,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levofloxacin Stada,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levofloxacina Basi,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levofloxacina Farmoz,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levofloxacino G.E.S.,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levofresh Inj.,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levojack-500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levoking,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
Levoleo 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),True
