DrugName,ActiveIngredient,PageNumber,Category,Is_Prescription
Laboya,Meropenem,950,"Kháng sinh nhóm carbapenem, họ beta-lactam",False
Lacbio Pro,Lactobacillus acidophilus,874,Vi khuẩn sinh acid lactic,False
Lacepril,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin,False
Lacepril 5,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin,False
Laclomez,Clarithromycin,404,Kháng sinh macrolid bán tổng hợp,False
Lacovir,Aciclovir,114,Thuốc chống virus,False
Lactat Ringer & Glucose,Ringer lactat,1247,Dịch truyền tĩnh mạch,False
Lactate Ringer,Ringer lactat,1247,Dịch truyền tĩnh mạch,False
Lactated ringer,Ringer lactat,1247,Dịch truyền tĩnh mạch,False
Lactated Ringer’ s injection,Ringer lactat,1247,Dịch truyền tĩnh mạch,False
Lactated ringer’s and dextrose,Ringer lactat,1247,Dịch truyền tĩnh mạch,False
Lactated Ringer’s Injection “Sintong”,Ringer lactat,1247,Dịch truyền tĩnh mạch,False
Lacticare-HC,Hydrocortison,779,"Glucocorticosteroid, corticosteroid",False
Lactoluse Cap,Lactobacillus acidophilus,874,Vi khuẩn sinh acid lactic,False
Lactosorbit,Sorbitol,1294,Thuốc nhuận tràng thẩm thấu,False
Lactulose Stada,Lactulose,875,Vi khuẩn sinh acid lactic,False
Ladexnin,Desloratadin,497,Thuốc diệt ký sinh trùng đơn bào,False
Ladinex,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Ladivir,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Ladolugel,Nhôm phosphat,1048,Kháng acid,False
Laevolac,Lactulose,875,Vi khuẩn sinh acid lactic,False
Lafoncef,Ceftriaxon,371,Kháng sinh nhóm cephalosporin thế hệ 3,False
Lafusidex,Acid fusidic,129,"Vitamin nhóm b, chất dinh dưỡng",False
Lamicetam,Piracetam,1159,Thuốc trị giun,False
Lamidac 100,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamiffix 100,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamijas,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Laminova 100,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamisil,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin",False
Lamisil Dermgel,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin",False
Lamisil once,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin",False
Lamitick,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamivase,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamivudin 100,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamivudin 100 Glomed,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamivudin 100 ICA,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamivudin 150,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamivudin 150 ICA,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamivudin Boston 100,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamivudin-Domesco,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamivudin Hasan 100,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamivudin Stada,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamivudine,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamivudine 150-SPM,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamovin,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamozile-30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lamtra,Methylprednisolon,969,Thuốc glucocorticoid tổng hợp,False
Lanacid-30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lanazol,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lanchek-30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Langamax,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Kukjekemocin,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2",False
Kukjekemocin Dry Syrup,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2",False
Kukjemefen,Meloxicam,940,Thuốc chống viêm không steroid,False
Kukjetrilcef,Cefradin,366,Kháng sinh nhóm cephalosporin thế hệ 1,False
Kukjetrona,Tobramycin,1392,Kháng sinh nhóm aminoglycosid,False
Kuktrim,Spectinomycin,1298,Kháng sinh (aminocyclitol),False
Kuniclav,Amoxicilin và kali clavulanat,192,Kháng sinh,False
Kunoxy Plus,Ofloxacin,1076,Kháng sinh nhóm quinolon,True
Kunrolac,Ketorolac,867,Chưa phân loại,False
Kupcefin For Inj,Ceftriaxon,371,Kháng sinh nhóm cephalosporin thế hệ 3,False
Kupcolkin,Colchicin,461,Chống bệnh gút,False
Kupdina,Danazol,486,Androgen,False
Kupfloxanal,Ofloxacin,1076,Kháng sinh nhóm quinolon,True
Kupitral,Itraconazol,849,Chống nấm,False
Kuplinko,Lincomycin hydroclorid,905,Kháng sinh nhóm lincosamid,False
Kupramickin,Amikacin,176,Kháng sinh họ aminoglycosid,False
Kuptoral,Fluorouracil,682,"Thuốc chống ung thư, loại chống chuyển hóa",False
Kuptrisone,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin",False
Kupuniclor,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2",False
Kupunistin,Cisplatin,400,Thuốc hóa trị liệu chống ung thư,False
Kutab 10,Olanzapin,1077,Kháng sinh nhóm quinolon,True
Kwang Myung Piracetam,Piracetam,1159,Thuốc trị giun,False
Kwangmyungcefix,Cefixim,351,Kháng sinh cephalosporin thế hệ 3,False
Kydheamo,1B - Natri bicarbonat,1027,Thuốc chống nấm (tại chỗ),False
Kyongbo Cefaclor Cap.,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2",False
Kyongbo Cefuroxime Inj.,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2,False
Kyseroxin,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2,False
K-Zidime Injection,Ceftazidim,368,Kháng sinh nhóm cephalosporin thế hệ 3,False
Labapraz,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Labetalol hydrochloride,Labetalol hydroclorid,872,Thuốc chống tăng huyết áp; thuốc ức chế thụ thể beta,False
Labomin,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Laborat,Risperidon,1249,Thuốc chống loạn thần,False
Laboya,Meropenem,950,"Kháng sinh nhóm carbapenem, họ beta-lactam",False
Lacbio Pro,Lactobacillus acidophilus,874,Vi khuẩn sinh acid lactic,False
Lacepril,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin,False
Lacepril 5,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin,False
Laclomez,Clarithromycin,404,Kháng sinh macrolid bán tổng hợp,False
Lacovir,Aciclovir,114,Thuốc chống virus,False
Lactat Ringer & Glucose,Ringer lactat,1247,Dịch truyền tĩnh mạch,False
Lactate Ringer,Ringer lactat,1247,Dịch truyền tĩnh mạch,False
Lactated ringer,Ringer lactat,1247,Dịch truyền tĩnh mạch,False
Lactated Ringer’ s injection,Ringer lactat,1247,Dịch truyền tĩnh mạch,False
Lactated ringer’s and dextrose,Ringer lactat,1247,Dịch truyền tĩnh mạch,False
Lactated Ringer’s Injection “Sintong”,Ringer lactat,1247,Dịch truyền tĩnh mạch,False
Lacticare-HC,Hydrocortison,779,"Glucocorticosteroid, corticosteroid",False
Lactoluse Cap,Lactobacillus acidophilus,874,Vi khuẩn sinh acid lactic,False
Lactosorbit,Sorbitol,1294,Thuốc nhuận tràng thẩm thấu,False
Lactulose Stada,Lactulose,875,Vi khuẩn sinh acid lactic,False
Ladexnin,Desloratadin,497,Thuốc diệt ký sinh trùng đơn bào,False
Ladinex,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Ladivir,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Ladolugel,Nhôm phosphat,1048,Kháng acid,False
Laevolac,Lactulose,875,Vi khuẩn sinh acid lactic,False
Lafoncef,Ceftriaxon,371,Kháng sinh nhóm cephalosporin thế hệ 3,False
Lafusidex,Acid fusidic,129,"Vitamin nhóm b, chất dinh dưỡng",False
Lamicetam,Piracetam,1159,Thuốc trị giun,False
Lamidac 100,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamiffix 100,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamijas,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Laminova 100,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamisil,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin",False
Lamisil Dermgel,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin",False
Lamisil once,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin",False
Lamitick,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamivase,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamivudin 100,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamivudin 100 Glomed,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamivudin 100 ICA,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamivudin 150,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamivudin 150 ICA,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamivudin Boston 100,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamivudin-Domesco,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamivudin Hasan 100,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamivudin Stada,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamivudine,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamivudine 150-SPM,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamovin,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lamozile-30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lamtra,Methylprednisolon,969,Thuốc glucocorticoid tổng hợp,False
Lanacid-30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lanazol,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lanchek-30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Langamax,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Langast,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Langbiacin,Kanamycin,856,Kháng sinh nhóm aminoglycosid,False
Lanidin Sol. IV . INF,Ciprofloxacin,394,Kháng sinh nhóm fluoroquinolon,False
Lanikson,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lanithina,Ranitidin,1232,Đối kháng thụ thể h2 histamin,False
Lanizol 30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lan-Lan,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Lanlife,30 - Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lanmebi,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lanola,Glimepirid,731,"Thuốc chống đái tháo đường, dẫn chất sulfonylurê",False
Lanprasol 15,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lanprasol 30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lans OD 15,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansec 30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansina,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansindus,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansofast,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansolek 30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansoliv,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansomax,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansoprazol Cinfa,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansoprazol Stada,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansoprazol tvp,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansoprazole,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansoprazole Stada,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansopril-30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansotop,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansotrent,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lansovie,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lanspro-30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lantazolin,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lantota,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lantus,Insulin,810,"Hormon làm hạ glucose máu, hormon chống đái tháo",False
Lantus SoloStar,Insulin,810,"Hormon làm hạ glucose máu, hormon chống đái tháo",False
Lanzadon,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lanzee-30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lanzmarksans,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lanzonium,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lapoce,Bezafibrat,258,Thuốc chống rối loạn lipid huyết (nhóm fibrat),False
Lapryl,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lapuvir-100,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lapuvir-150,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Larevir 150,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Larevir 300,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Larykid,Clarithromycin,404,Kháng sinh macrolid bán tổng hợp,False
Larzole 400,Albendazol,150,Thuốc trị giun sán,False
Lasoprol 30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lasovac,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lastidyl 2,Glimepirid,731,"Thuốc chống đái tháo đường, dẫn chất sulfonylurê",False
Lastidyl 4,Glimepirid,731,"Thuốc chống đái tháo đường, dẫn chất sulfonylurê",False
Lastinem,Imipenem và thuốc ức chế enzym,800,Kháng sinh nhóm beta-lactam,False
Latoxol,Ambroxol,175,Thuốc long đờm,False
Latyz,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Laviz 100,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lavusafe,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Lazifovir 300,Tenofovir,1335,Thuốc kháng retrovirus,False
Lazilipi 100,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat),False
Lazilipi 200,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat),False
Lazocolic,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Lazzy,Lamivudin,876,Thuốc kháng retrovirus và virus,False
L-Bio,Lactobacillus acidophilus,874,Vi khuẩn sinh acid lactic,False
L-Cid,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
L-Cin 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
L-cin 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Leadercef,Cefotaxim,357,Kháng sinh cephalosporin thế hệ 3,False
Lecefti sachet,Cefixim,351,Kháng sinh cephalosporin thế hệ 3,False
Lecefti-200,Cefixim,351,Kháng sinh cephalosporin thế hệ 3,False
Lecinflox OPH,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Lecoject,Lincomycin hydroclorid,905,Kháng sinh nhóm lincosamid,False
Lefelo,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Lefidim,Ceftazidim,368,Kháng sinh nhóm cephalosporin thế hệ 3,False
Lefloinfusion,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Lefloxa 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Lefloxa 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Leflumax,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Leflunomide,Leflunomid,881,Thuốc điều hòa miễn dịch kháng viêm khớp làm thay,False
Lefquin,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Lefra-20,Leflunomid,881,Thuốc điều hòa miễn dịch kháng viêm khớp làm thay,False
Lefrocix,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Lefvox,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Lefvox-250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Lefxacin,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Lefzomed,Cefazolin,343,Kháng sinh cephalosporin thế hệ 1,False
Leginin 500 Inj.,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Legomux,Ambroxol,175,Thuốc long đờm,False
Leivis,Ketoconazol,861,Chống nấm có hoạt phổ rộng,False
Lelocin 5,Flunarizin,678,Thuốc chẹn kênh calci,False
Lemibet IV,Imipenem và thuốc ức chế enzym,800,Kháng sinh nhóm beta-lactam,False
Lemidina,Lamivudin,876,Thuốc kháng retrovirus và virus,False
Leninrazol 20,Esomeprazol,619,Thuốc ức chế bài tiết acid dạ dày thuộc nhóm ức chế,False
Leninrazol 40,Esomeprazol,619,Thuốc ức chế bài tiết acid dạ dày thuộc nhóm ức chế,False
Lenvoxae,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Lepigin 100,Clozapin,455,Thuốc an thần kinh không điển hình/thuốc chống loạn,False
Lepigin 25,Clozapin,455,Thuốc an thần kinh không điển hình/thuốc chống loạn,False
Leponex,Clozapin,455,Thuốc an thần kinh không điển hình/thuốc chống loạn,False
Lequinic,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Lercanidipine,Lercanidipin,884,Thuốc chẹn kênh calci,False
Lercanidipine meyer,Lercanidipin,884,Thuốc chẹn kênh calci,False
Lergitec tablet,Cetirizin hydroclorid,381,Kháng histamin; đối kháng thụ thể h,False
Lerivu,Cefotaxim,357,Kháng sinh cephalosporin thế hệ 3,False
Lerphat,Fexofenadin hydroclorid,657,"Kháng histamin thế hệ 2, đối kháng thụ thể h",False
Lessenol,Paracetamol,1118,Giảm đau; hạ sốt,False
Lessenol 325,Paracetamol,1118,Giảm đau; hạ sốt,False
Lesulpin,Sulpirid,1314,Thuốc chống loạn thần,False
Letram,Levetiracetam,887,Thuốc điều trị động kinh,False
Letristan 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Letristan 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Letrozole,Letrozol,885,Thuốc chẹn kênh calci,False
Letspo,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin",False
Leucostim,Filgrastim,659,Yếu tố kích thích tăng trưởng bạch cầu,False
Leukokine,Filgrastim,659,Yếu tố kích thích tăng trưởng bạch cầu,False
Levagim,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levatam,Levetiracetam,887,Thuốc điều trị động kinh,False
Levazid,Gliclazid,729,"Thuốc chống đái tháo đường, dẫn chất sulfonylurê",False
Levecetam,Levetiracetam,887,Thuốc điều trị động kinh,False
Levepsy-250,Levetiracetam,887,Thuốc điều trị động kinh,False
Levepsy-500,Levetiracetam,887,Thuốc điều trị động kinh,False
Levetral,Levetiracetam,887,Thuốc điều trị động kinh,False
Levibact-250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levin Tablets 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levin tablets 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levioloxe,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Leviron,Piracetam,1159,Thuốc trị giun,False
Levisdon,Risperidon,1249,Thuốc chống loạn thần,False
Levobac,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levobact,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levocef 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levocef 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
HMG,CoA Reductase,285,"Chống co thắt, kháng muscarinic",False
Levocide 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levocide-250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levocil,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levocil IV,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levoday 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levoeye Eye drops,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levof,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levofast Inj.,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levofexin,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levoflex,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levoflomarksans,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levoflox 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levofloxacin 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levofloxacin 250 Glomed,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levofloxacin 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levofloxacin 500 Glomed,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levofloxacin Stada,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levofloxacina Basi,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levofloxacina Farmoz,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levofloxacino G.E.S.,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levofresh Inj.,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levojack-500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levoking,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Levoleo 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
